enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
5018,5,85,1,0,3,0,5,21,8,6,0,35,1
16986,77,48,1,1,3,0,5,6,4,5,4,46,0
6499,64,14,3,1,0,0,5,15,8,6,6,82,0
19067,14,52,3,1,2,0,1,20,8,5,6,51,1
358,50,45,1,0,3,2,5,21,4,1,3,7,0
12304,57,43,3,0,1,0,5,2,8,6,0,23,1
16451,49,85,1,0,3,1,6,15,4,1,0,23,0
218,83,41,1,0,3,0,5,4,7,5,4,17,1
15481,5,85,1,0,3,0,5,17,4,5,0,45,1
375,5,85,3,0,3,0,5,8,3,5,4,120,0
16823,64,14,3,1,0,1,6,11,8,6,6,31,1
13579,5,85,1,0,3,0,5,15,6,5,0,106,0
14634,91,83,1,0,3,0,5,21,2,5,2,22,0
3225,64,14,1,1,2,5,6,11,8,6,6,23,0
4888,64,14,3,1,0,1,6,15,8,6,6,25,0
3676,13,90,1,0,3,0,5,7,0,5,4,17,0
2277,5,85,3,0,3,0,5,0,4,5,6,104,0
3190,64,14,3,0,3,0,5,11,6,5,1,6,0
1183,64,14,3,0,3,0,5,17,3,5,6,22,1
6406,26,60,0,0,3,0,0,14,8,6,0,129,1
18320,47,64,1,0,3,2,5,2,1,5,0,67,0
10782,13,90,1,0,3,2,5,2,1,5,1,49,0
3616,4,57,3,0,3,2,5,1,8,6,0,47,0
3921,77,48,1,0,3,0,2,20,2,5,0,64,0
12939,64,14,3,0,3,0,5,15,2,5,0,12,0
8176,95,67,3,1,3,1,6,14,8,6,6,21,0
9671,64,14,3,0,1,0,5,5,5,5,0,144,1
16263,5,85,1,0,3,0,0,15,8,6,1,71,0
12228,2,73,1,0,3,1,6,2,7,5,0,7,1
5806,64,14,1,0,3,0,5,9,4,1,1,67,1
8409,5,85,1,0,3,0,5,21,1,5,2,39,0
12652,5,85,1,0,1,0,5,10,6,5,4,137,0
2365,5,85,0,1,0,0,5,15,8,6,0,23,0
15397,49,85,0,0,3,0,5,21,1,5,4,81,0
15126,48,82,1,0,3,0,1,3,6,5,2,141,0
2694,5,85,1,0,3,0,5,1,0,0,1,181,0
7168,13,90,1,1,1,1,6,0,3,3,0,148,0
5669,13,90,1,0,3,3,5,21,1,5,3,41,1
4820,5,85,3,1,3,0,5,3,8,6,3,49,0
14068,99,72,1,1,3,5,6,13,8,6,6,104,0
1388,13,90,0,0,0,2,5,7,2,4,1,13,0
7814,6,88,1,0,3,1,6,14,0,5,1,35,0
18126,64,14,3,0,3,2,5,16,4,0,0,110,1
7697,93,21,3,1,3,0,3,19,4,5,6,106,0
3083,64,14,1,0,1,2,5,19,6,5,2,6,1
